"","name","deathsper1000livebirths","region"
"1","Afghanistan",101.3,"South Asia"
"2","Somalia",83.6,"Africa"
"3","Central African Republic",80.5,"Africa"
"4","Equatorial Guinea",77.4,"Africa"
"5","Sierra Leone",71.2,"Africa"
"6","Niger",64.3,"Africa"
"7","Chad",62.5,"Africa"
"8","South Sudan",60.1,"Africa"
"9","Mozambique",58.2,"Africa"
"10","Mali",57.4,"Africa"
"11","Democratic Republic of the Congo",57.4,"Africa"
"12","Liberia",55.7,"Africa"
"13","Angola",55.6,"Africa"
"14","Comoros",54.9,"Africa"
"15","Nigeria",53.7,"Africa"
"16","Benin",52.9,"Africa"
"17","Cote d'Ivoire",52.5,"Africa"
"18","Pakistan",51.5,"South Asia"
"19","Mauritania",48.9,"Africa"
"20","Burkina Faso",47,"Africa"
"21","Guinea",47,"Africa"
"22","Guinea-Bissau",46.4,"Africa"
"23","Cameroon",46.1,"Africa"
"24","Lesotho",45.7,"Africa"
"25","Djibouti",45.2,"Africa"
"26","Yemen",44.6,"Middle East"
"27","Sao Tome and Principe",42.6,"Africa"
"28","Sudan",40.6,"Africa"
"29","Eritrea",39.8,"Africa"
"30","Togo",38.4,"Africa"
"31","Madagascar",37.5,"Africa"
"32","Haiti",36.8,"Central America and the Caribbean"
"33","Eswatini",36.7,"Africa"
"34","Turkmenistan",35.9,"Central Asia"
"35","The Gambia",35.7,"Africa"
"36","Burundi",35.7,"Africa"
"37","Zambia",35.6,"Africa"
"38","Laos",35.4,"East and Southeast Asia"
"39","Zimbabwe",33.4,"Africa"
"40","Ethiopia",32.6,"Africa"
"41","Timor-Leste",32.2,"East and Southeast Asia"
"42","Burma",32.1,"East and Southeast Asia"
"43","Papua New Guinea",32,"East and Southeast Asia"
"44","Malawi",31.9,"Africa"
"45","Kiribati",31.5,"Australia and Oceania"
"46","Ghana",31.2,"Africa"
"47","Senegal",31.1,"Africa"
"48","Republic of the Congo",30.6,"Africa"
"49","India",30.4,"South Asia"
"50","Suriname",29.6,"South America"
"51","Tanzania",29.6,"Africa"
"52","Bangladesh",28.8,"South Asia"
"53","Uganda",28.5,"Africa"
"54","Cambodia",27.9,"East and Southeast Asia"
"55","Namibia",27.9,"Africa"
"56","Tuvalu",27.8,"Australia and Oceania"
"57","Gabon",26.9,"Africa"
"58","Kenya",26.1,"Africa"
"59","Guatemala",25,"Central America and the Caribbean"
"60","Rwanda",24.9,"Africa"
"61","Kyrgyzstan",24.5,"Central Asia"
"62","Maldives",24.4,"South Asia"
"63","Bhutan",24.3,"South Asia"
"64","Nepal",24,"South Asia"
"65","Botswana",23.7,"Africa"
"66","Kosovo",22.9,"Europe"
"67","Cabo Verde",22.4,"Africa"
"68","Bolivia",22.3,"South America"
"69","Philippines",22,"East and Southeast Asia"
"70","Paraguay",22,"South America"
"71","South Africa",21.9,"Africa"
"72","Georgia",21.7,"Central Asia"
"73","Tajikistan",21.7,"Central Asia"
"74","Dominican Republic",21.7,"Central America and the Caribbean"
"75","Guyana",21.1,"South America"
"76","Federated States of Micronesia",20.9,"Australia and Oceania"
"77","Marshall Islands",20.6,"Australia and Oceania"
"78","Mongolia",19.4,"East and Southeast Asia"
"79","Solomon Islands",19.1,"Australia and Oceania"
"80","Indonesia",18.9,"East and Southeast Asia"
"81","Iraq",18.7,"Middle East"
"82","Algeria",18.7,"Africa"
"83","Turkey",18.4,"Middle East"
"84","Morocco",18.3,"Africa"
"85","Uzbekistan",18.2,"Central Asia"
"86","Saint Helena Ascension and Tristan da Cunha",18.1,"Africa"
"87","Samoa",17.3,"Australia and Oceania"
"88","Egypt",16.8,"Africa"
"89","North Korea",15.4,"East and Southeast Asia"
"90","Honduras",15.4,"Central America and the Caribbean"
"91","Gaza Strip",15.1,"Middle East"
"92","Syria",15.1,"Middle East"
"93","West Bank",15.1,"Middle East"
"94","Trinidad and Tobago",15.1,"Central America and the Caribbean"
"95","Cook Islands",15.1,"Australia and Oceania"
"96","Nicaragua",14.4,"Central America and the Caribbean"
"97","Iran",14.3,"Middle East"
"98","Panama",14.2,"Central America and the Caribbean"
"99","Vietnam",14.1,"East and Southeast Asia"
"100","Oman",13.9,"Middle East"
"101","Venezuela",13.9,"South America"
"102","Moldova",13.8,"Europe"
"103","Vanuatu",13.7,"Australia and Oceania"
"104","Antigua and Barbuda",13.6,"Central America and the Caribbean"
"105","British Virgin Islands",13.4,"Central America and the Caribbean"
"106","Jordan",13.2,"Middle East"
"107","Brazil",12.9,"South America"
"108","Saint Vincent and the Grenadines",12.3,"Central America and the Caribbean"
"109","Mexico",12.1,"North America"
"110","Northern Mariana Islands",11.9,"Australia and Oceania"
"111","Tonga",11.8,"Australia and Oceania"
"112","El Salvador",11.7,"Central America and the Caribbean"
"113","Saudi Arabia",11.7,"Middle East"
"114","Colombia",11.7,"South America"
"115","Armenia",11.6,"Central Asia"
"116","Mauritius",11.6,"Africa"
"117","Aruba",11.5,"Central America and the Caribbean"
"118","Saint Lucia",11.5,"Central America and the Caribbean"
"119","Tunisia",11.3,"Africa"
"120","Belize",11.3,"Central America and the Caribbean"
"121","Ecuador",11.2,"South America"
"122","Turks and Caicos Islands",11.1,"Central America and the Caribbean"
"123","Azerbaijan",10.9,"Central Asia"
"124","Guam",10.9,"Australia and Oceania"
"125","Peru",10.8,"South America"
"126","Palau",10.8,"Australia and Oceania"
"127","Dominica",10.7,"Central America and the Caribbean"
"128","Libya",10.7,"Africa"
"129","Jamaica",10.7,"Central America and the Caribbean"
"130","Albania",10.3,"Europe"
"131","Seychelles",10.2,"Africa"
"132","Brunei",10,"East and Southeast Asia"
"133","Fiji",9.7,"Australia and Oceania"
"134","Montserrat",9.7,"Central America and the Caribbean"
"135","Bahrain",9.7,"Middle East"
"136","American Samoa",9.7,"Australia and Oceania"
"137","Barbados",9.6,"Central America and the Caribbean"
"138","The Bahamas",9.4,"Central America and the Caribbean"
"139","Grenada",9,"Central America and the Caribbean"
"140","Argentina",9,"South America"
"141","Ukraine",8.7,"Europe"
"142","Greenland",8.5,"North America"
"143","Croatia",8.4,"Europe"
"144","Cyprus",8.1,"Europe"
"145","Uruguay",8,"South America"
"146","Kazakhstan",8,"Central Asia"
"147","Saint Kitts and Nevis",8,"Central America and the Caribbean"
"148","Saint Pierre and Miquelon",7.8,"North America"
"149","Bulgaria",7.7,"Europe"
"150","Sint Maarten",7.6,"Central America and the Caribbean"
"151","Nauru",7.6,"Australia and Oceania"
"152","Curacao",7.5,"Central America and the Caribbean"
"153","Virgin Islands",7.3,"Central America and the Caribbean"
"154","Cayman Islands",7.3,"Central America and the Caribbean"
"155","Kuwait",7.2,"Middle East"
"156","North Macedonia",7,"Europe"
"157","Sri Lanka",6.8,"South Asia"
"158","Costa Rica",6.7,"Central America and the Caribbean"
"159","Lebanon",6.7,"Middle East"
"160","Saint Martin",6.5,"Central America and the Caribbean"
"161","Saint Barthelemy",6.5,"Central America and the Caribbean"
"162","Russia",6.5,"Central Asia"
"163","Qatar",6.4,"Middle East"
"164","Malaysia",6.4,"East and Southeast Asia"
"165","Thailand",6.3,"East and Southeast Asia"
"166","Chile",6.3,"South America"
"167","China",6.2,"East and Southeast Asia"
"168","San Marino",6.2,"Europe"
"169","Gibraltar",6,"Europe"
"170","Puerto Rico",5.8,"Central America and the Caribbean"
"171","Faroe Islands",5.7,"Europe"
"172","Romania",5.5,"Europe"
"173","United States",5.1,"North America"
"174","Slovakia",5.1,"Europe"
"175","United Arab Emirates",5,"Middle East"
"176","Bosnia and Herzegovina",5,"Europe"
"177","Poland",4.9,"Europe"
"178","New Caledonia",4.8,"Australia and Oceania"
"179","Latvia",4.7,"Europe"
"180","Hungary",4.7,"Europe"
"181","Serbia",4.5,"Europe"
